"Text";"Date";"Time";"Integer";"Float";"Boolean";"Four State";"Link";"Mail";"timestamp"
"Text 1";"24-03-2016";"10:30:00";"4";"1.34";"0";"1";"www.shopping.com";"yxc@test.com";"2018-04-02 15:14:51"
"Text 2";"25-03-2016";"11:30:00";"3";"345.34";"1";"0";"www.yahoo.com";"ete@test.com";"2018-04-02 15:14:52"
"Text 3";"26-03-2016";"17:50:00";"6";"45.456";"1";"1";"www.nyc.com";"cfsv@test.com";"2018-04-02 15:14:53"
"Text 4";"26-07-2016";"18:50:00";"8";"98.64";"1";"2";"www.shopping.com";"tere@test.com";"2018-04-02 15:14:54"
"Text 5";"27-07-2016";"19:10:00";"90";"456.766";"1";"2";"www.times.com";"tesu@test.com";"2018-04-02 15:14:55"
"Text 6";"15-01-2010";"20:10:00";"543";"906.098";"0";"1";"www.nyc.com";"test07@test.com";"2018-04-02 15:14:56"
"Text 7";"16-01-2010";"10:13:00";"78";"1.34";"1";"0";"www.shopping.com";"test3@test.com";"2018-04-02 15:14:57"
"Text 8";"11-08-2016";"01:27:00";"6";"345.34";"0";"";"www.times.com";"test2@test.com";"2018-04-02 15:14:58"
"Text 9";"07-09-2011";"02:27:00";"24";"45.456";"1";"1";"www.nyc.com";"test1@test.com";"2018-04-02 15:14:59"
"Text 10";"11-12-2012";"05:42:00";"6";"98.64";"0";"2";"www.blogspot.com";"mnb@test.com";"2018-04-02 15:15:00"
"Text 11";"04-06-1988";"14:13:00";"867";"456.766";"1";"0";"www.times.com";"oiuz@test.com";"2018-04-02 15:15:01"
"Text 12";"05-06-1988";"15:13:00";"547";"906.098";"0";"";"www.nyc.com";"fgh@test.com";"2018-04-02 15:15:02"
"Text 13";"06-06-1988";"16:13:00";"46";"5462.23";"0";"1";"www.shopping.com";"abc@test.com";"2018-04-02 15:15:03"
